id,name,designation,promotionDate,dateOfBirth,photoUrl,managerId
emp1,"Name1",Chairperson,2015-01-15,1965-03-10,emp1.jpg,
emp2,"Name2",Director,2016-03-12,1972-07-22,emp2.jpg,emp1
emp3,"Name3",Director,2017-05-20,1974-01-09,emp3.jpg,emp1
emp4,"Name4",Director,2018-11-02,1970-12-01,emp4.jpg,emp1
emp5,"Name5",Head,2019-01-01,1980-02-02,emp5.jpg,emp2
emp6,"Name6",Head,2019-02-10,1982-05-06,emp6.jpg,emp2
emp7,"Name7",Head,2019-03-12,1981-08-11,emp7.jpg,emp2
emp8,"Name8",Head,2019-04-15,1983-10-30,emp8.jpg,emp2
emp9,"Name9",Head,2018-04-15,1980-03-03,emp9.jpg,emp3
emp10,"Name10",CAO,2018-06-20,1981-04-04,emp10.jpg,emp3
emp11,"Name11",Head,2018-07-10,1982-05-05,emp11.jpg,emp3
emp12,"Name12",DCA,2018-08-01,1983-06-06,emp12.jpg,emp3
emp13,"Name13",Head,2018-09-09,1984-07-07,emp13.jpg,emp3
emp14,"Name14",Head,2020-07-30,1980-08-08,emp14.jpg,emp4
emp15,"Name15",Head,2020-08-15,1981-09-09,emp15.jpg,emp4
emp16,"Name16",CAO,2020-09-01,1982-10-10,emp16.jpg,emp4
emp17,"Name17",DCA,2020-10-10,1983-11-11,emp17.jpg,emp4
emp18,"PA1",PA,2015-02-01,1985-01-15,emp18.jpg,emp1
emp19,"PA2",PA,2015-03-01,1986-02-20,emp19.jpg,emp1
emp20,"PA3",PA,2016-04-01,1987-03-10,emp20.jpg,emp2
emp21,"PA4",PA,2016-05-01,1988-04-05,emp21.jpg,emp3
emp22,"PA5",PA,2016-06-01,1989-05-12,emp22.jpg,emp4
emp23,"PA6",PA,2016-07-01,1990-06-18,emp23.jpg,emp5
emp24,"PA7",PA,2016-08-01,1991-07-25,emp24.jpg,emp6
emp25,"PA8",PA,2016-09-01,1992-08-30,emp25.jpg,emp7
emp26,"PA9",PA,2016-10-01,1993-09-14,emp26.jpg,emp8
emp27,"PA10",PA,2016-11-01,1994-10-22,emp27.jpg,emp9
emp28,"PA11",PA,2016-12-01,1995-11-08,emp28.jpg,emp10
emp29,"PA12",PA,2017-01-01,1996-12-03,emp29.jpg,emp11
emp30,"PA13",PA,2017-02-01,1997-01-17,emp30.jpg,emp12
emp31,"PA14",PA,2017-03-01,1998-02-28,emp31.jpg,emp13
emp32,"PA15",PA,2017-04-01,1999-03-11,emp32.jpg,emp14
emp33,"PA16",PA,2017-05-01,2000-04-19,emp33.jpg,emp15
emp34,"PA17",PA,2017-06-01,2001-05-26,emp34.jpg,emp16
emp35,"PA18",PA,2017-07-01,2002-06-07,emp35.jpg,emp17
emp36,"PA19",PA,2017-08-01,2003-07-13,emp36.jpg,emp5
emp37,"PA20",PA,2017-09-01,2004-08-21,emp37.jpg,emp6
emp38,"Name38",Section Head,2020-01-01,1985-01-01,emp38.jpg,emp5
emp39,"Name39",Section Head,2020-01-01,1985-01-01,emp39.jpg,emp6
emp40,"Name40",Section Head,2020-01-01,1985-01-01,emp40.jpg,emp7
emp41,"Name41",Section Head,2020-01-01,1985-01-01,emp41.jpg,emp8
emp42,"Name42",Section Head,2020-01-01,1985-01-01,emp42.jpg,emp9
emp43,"Name43",Section Head,2020-01-01,1985-01-01,emp43.jpg,emp10
emp44,"Name44",Section Head,2020-01-01,1985-01-01,emp44.jpg,emp11
emp45,"Name45",Section Head,2020-01-01,1985-01-01,emp45.jpg,emp12
emp46,"Name46",Section Head,2020-01-01,1985-01-01,emp46.jpg,emp13
emp47,"Name47",Section Head,2020-01-01,1985-01-01,emp47.jpg,emp14
emp48,"Name48",Section Head,2020-01-01,1985-01-01,emp48.jpg,emp15
emp49,"Name49",Section Head,2020-01-01,1985-01-01,emp49.jpg,emp16
emp50,"Name50",Section Head,2020-01-01,1985-01-01,emp50.jpg,emp17
emp51,"Name51",SOF,2020-02-01,1986-01-01,emp51.jpg,emp38
emp52,"Name52",SOF,2020-02-01,1986-01-01,emp52.jpg,emp39
emp53,"Name53",SOF,2020-02-01,1986-01-01,emp53.jpg,emp40
emp54,"Name54",SOF,2020-02-01,1986-01-01,emp54.jpg,emp41
emp55,"Name55",SOF,2020-02-01,1986-01-01,emp55.jpg,emp42
emp56,"Name56",SOF,2020-02-01,1986-01-01,emp56.jpg,emp43
emp57,"Name57",SOF,2020-02-01,1986-01-01,emp57.jpg,emp44
emp58,"Name58",SOF,2020-02-01,1986-01-01,emp58.jpg,emp45
emp59,"Name59",SOF,2020-02-01,1986-01-01,emp59.jpg,emp46
emp60,"Name60",SOF,2020-02-01,1986-01-01,emp60.jpg,emp47
emp61,"Name61",SOF,2020-02-01,1986-01-01,emp61.jpg,emp48
emp62,"Name62",SOF,2020-02-01,1986-01-01,emp62.jpg,emp49
emp63,"Name63",SOF,2020-02-01,1986-01-01,emp63.jpg,emp50
emp64,"Name64",SOE,2020-03-01,1987-01-01,emp64.jpg,emp51
emp65,"Name65",SOE,2020-03-01,1987-01-01,emp65.jpg,emp52
emp66,"Name66",SOE,2020-03-01,1987-01-01,emp66.jpg,emp53
emp67,"Name67",SOE,2020-03-01,1987-01-01,emp67.jpg,emp54
emp68,"Name68",SOE,2020-03-01,1987-01-01,emp68.jpg,emp55
emp69,"Name69",SOE,2020-03-01,1987-01-01,emp69.jpg,emp56
emp70,"Name70",SOE,2020-03-01,1987-01-01,emp70.jpg,emp57
emp71,"Name71",SOE,2020-03-01,1987-01-01,emp71.jpg,emp58
emp72,"Name72",SOE,2020-03-01,1987-01-01,emp72.jpg,emp59
emp73,"Name73",SOE,2020-03-01,1987-01-01,emp73.jpg,emp60
emp74,"Name74",SOE,2020-03-01,1987-01-01,emp74.jpg,emp61
emp75,"Name75",SOE,2020-03-01,1987-01-01,emp75.jpg,emp62
emp76,"Name76",SOE,2020-03-01,1987-01-01,emp76.jpg,emp63
emp77,"Name77",SOD,2020-04-01,1988-01-01,emp77.jpg,emp64
emp78,"Name78",SOD,2020-04-01,1988-01-01,emp78.jpg,emp65
emp79,"Name79",SOD,2020-04-01,1988-01-01,emp79.jpg,emp66
emp80,"Name80",SOD,2020-04-01,1988-01-01,emp80.jpg,emp67
emp81,"Name81",SOD,2020-04-01,1988-01-01,emp81.jpg,emp68
emp82,"Name82",SOD,2020-04-01,1988-01-01,emp82.jpg,emp69
emp83,"Name83",SOD,2020-04-01,1988-01-01,emp83.jpg,emp70
emp84,"Name84",SOD,2020-04-01,1988-01-01,emp84.jpg,emp71
emp85,"Name85",SOD,2020-04-01,1988-01-01,emp85.jpg,emp72
emp86,"Name86",SOD,2020-04-01,1988-01-01,emp86.jpg,emp73
emp87,"Name87",SOD,2020-04-01,1988-01-01,emp87.jpg,emp74
emp88,"Name88",SOD,2020-04-01,1988-01-01,emp88.jpg,emp75
emp89,"Name89",SOD,2020-04-01,1988-01-01,emp89.jpg,emp76
emp90,"Name90",SOC,2020-05-01,1989-01-01,emp90.jpg,emp77
emp91,"Name91",SOC,2020-05-01,1989-01-01,emp91.jpg,emp78
emp92,"Name92",SOC,2020-05-01,1989-01-01,emp92.jpg,emp79
emp93,"Name93",SOC,2020-05-01,1989-01-01,emp93.jpg,emp80
emp94,"Name94",SOC,2020-05-01,1989-01-01,emp94.jpg,emp81
emp95,"Name95",SOC,2020-05-01,1989-01-01,emp95.jpg,emp82
emp96,"Name96",SOC,2020-05-01,1989-01-01,emp96.jpg,emp83
emp97,"Name97",SOC,2020-05-01,1989-01-01,emp97.jpg,emp84
emp98,"Name98",SOC,2020-05-01,1989-01-01,emp98.jpg,emp85
emp99,"Name99",SOC,2020-05-01,1989-01-01,emp99.jpg,emp86
emp100,"Name100",SOC,2020-05-01,1989-01-01,emp100.jpg,emp87
emp101,"Name101",SOC,2020-05-01,1989-01-01,emp101.jpg,emp88
emp102,"Name102",SOC,2020-05-01,1989-01-01,emp102.jpg,emp89
